mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
3.64,0.754,1.564,0.203,0.542,0.316,2.6260000000000003,29.204,0.0
3.743,0.789,1.517,0.19,0.491,0.281,2.48,29.023000000000003,0.0
3.793,0.8109999999999999,1.432,0.17600000000000002,0.469,0.265,2.342,29.294,0.0
3.905,0.8370000000000001,1.348,0.162,0.377,0.251,2.138,31.592,0.0
3.8960000000000004,0.8490000000000001,1.334,0.151,0.349,0.24,2.075,31.674,0.0
3.948,0.857,1.237,0.139,0.337,0.233,1.946,32.049,0.0
3.933,0.866,1.184,0.129,0.321,0.222,1.857,31.373,0.0
4.015,0.87,1.108,0.123,0.315,0.214,1.761,31.593,0.0
4.019,0.876,1.021,0.115,0.302,0.207,1.645,31.773,0.0
4.014,0.882,0.911,0.11,0.294,0.198,1.513,32.463,0.0
4.014,0.882,0.845,0.104,0.288,0.193,1.43,33.92,0.0
3.974,0.892,0.81,0.096,0.275,0.185,1.367,35.072,0.0
4.045,0.893,0.781,0.093,0.275,0.179,1.329,35.956,0.0
